Join_Count,TARGET_FID,STATION_ID,LATITUDE,LONGITUDE,FEATUREID,SOURCEFC,AreaSqKM
1,0,0044-02-2010,39.30833300000,-79.31121700000,14365410,NHDFlowline,4.78170000000
1,1,0044-03-2010,39.30916700000,-79.31165000000,14365410,NHDFlowline,4.78170000000
1,2,0053-01-2007,39.45730000000,-78.99010000000,14364358,NHDFlowline,2.04030000000
1,3,0053-02-2007,39.46860000000,-79.01860000000,14364998,NHDFlowline,4.36500000000
1,4,0053-03-2007,39.46330000000,-78.97210000000,14364750,NHDFlowline,5.17230000000
1,5,0054-01-2007,39.49620000000,-78.94810000000,14364246,NHDFlowline,2.73780000000
1,6,0054-02-2007,39.48460000000,-78.94790000000,932070126,NHDFlowline,4.69980000000
1,7,0054-03-2007,39.49890000000,-78.93680000000,14364230,NHDFlowline,0.18000000000
1,8,0057-01-2010,39.57805000000,-78.85125000000,14363162,NHDFlowline,2.60010000000
1,9,0057-02-2010,39.57936700000,-78.85265000000,14363162,NHDFlowline,2.60010000000
1,10,0057-03-2010,39.58320000000,-78.86261700000,14363162,NHDFlowline,2.60010000000
1,11,0059-01-2007,39.59640000000,-78.82760000000,14363110,NHDFlowline,2.95110000000
1,12,0059-01-2010,39.59578300000,-78.83356700000,14363110,NHDFlowline,2.95110000000
1,13,0062-01-2007,39.58680000000,-78.71630000000,14363466,NHDFlowline,4.62330000000
1,14,0063-02-2007,39.57570000000,-78.70650000000,14363620,NHDFlowline,3.23100000000
1,15,0063-03-2007,39.56780000000,-78.71540000000,14363620,NHDFlowline,3.23100000000
1,16,0064-01-2007,39.62460000000,-78.67320000000,14363184,NHDFlowline,10.04490000000
1,17,0064-02-2007,39.60340000000,-78.68440000000,14363184,NHDFlowline,10.04490000000
1,18,0064-03-2007,39.56890000000,-78.70430000000,14363184,NHDFlowline,10.04490000000
1,19,0065-01-2007,39.64900000000,-78.66650000000,14362984,NHDFlowline,3.87270000000
1,20,0065-02-2007,39.66540000000,-78.65770000000,14362984,NHDFlowline,3.87270000000
1,21,0066-01-2007,39.56390000000,-78.69660000000,14363182,NHDFlowline,9.25740000000
1,22,0066-02-2007,39.57630000000,-78.68550000000,14363182,NHDFlowline,9.25740000000
1,23,0066-03-2007,39.57530000000,-78.68630000000,14363182,NHDFlowline,9.25740000000
1,24,0067-02-2007,39.61100000000,-78.65530000000,14363078,NHDFlowline,1.45080000000
1,25,0068-01-2007,39.55650000000,-78.64570000000,14363486,NHDFlowline,11.04300000000
1,26,0068-02-2007,39.57330000000,-78.65630000000,14363486,NHDFlowline,11.04300000000
1,27,0068-03-2007,39.56660000000,-78.65650000000,14363486,NHDFlowline,11.04300000000
1,28,0068-04-2007,39.59830000000,-78.65320000000,14363102,NHDFlowline,1.23480000000
1,29,0070-01-2007,39.56170000000,-78.62730000000,14363180,NHDFlowline,2.57040000000
1,30,0070-02-2007,39.56340000000,-78.63310000000,14363180,NHDFlowline,2.57040000000
1,31,0070-03-2007,39.55930000000,-78.62170000000,14363194,NHDFlowline,0.23220000000
1,32,0074-01-2007,39.50430000000,-79.15570000000,14364102,NHDFlowline,1.64610000000
1,33,0074-01-2010,39.50431700000,-79.15565000000,14364102,NHDFlowline,1.64610000000
1,34,0074-02-2007,39.45540000000,-79.24730000000,14365894,NHDFlowline,7.25220000000
1,35,0074-02-2010,39.49111700000,-79.17668300000,14364976,NHDFlowline,10.35990000000
1,36,0074-03-2007,39.46600000000,-79.22660000000,14365026,NHDFlowline,1.62180000000
1,37,0075-01-2007,39.48650000000,-79.08360000000,14364966,NHDFlowline,1.97640000000
1,38,0075-02-2007,39.48590000000,-79.08400000000,14364968,NHDFlowline,3.39120000000
1,39,0075-03-2007,39.50210000000,-79.12290000000,14364042,NHDFlowline,5.27850000000
1,40,0076-01-2007,39.51430000000,-79.15790000000,14364024,NHDFlowline,1.16730000000
1,41,0076-02-2007,39.51170000000,-79.16320000000,14364026,NHDFlowline,1.50750000000
1,42,0076-03-2007,39.51250000000,-79.16300000000,14364022,NHDFlowline,0.36900000000
1,43,0077-01-2007,39.52320000000,-79.14530000000,14364004,NHDFlowline,5.24520000000
1,44,0077-01-2010,39.58068300000,-79.09048300000,14363946,NHDFlowline,0.12240000000
1,45,0077-02-2007,39.54600000000,-79.12710000000,14364090,NHDFlowline,6.57720000000
1,46,0077-02-2010,39.57045000000,-79.10031700000,14364088,NHDFlowline,5.72220000000
1,47,0077-03-2007,39.58250000000,-79.09140000000,14363946,NHDFlowline,0.12240000000
1,48,0077-03-2010,39.54343300000,-79.13988300000,14363968,NHDFlowline,0.73620000000
1,49,0078-01-2007,39.56470000000,-79.20180000000,14363970,NHDFlowline,13.68090000000
1,50,0078-02-2007,39.55010000000,-79.14420000000,14363962,NHDFlowline,0.82800000000
1,51,0078-03-2007,39.58470000000,-79.17130000000,14363942,NHDFlowline,0.03420000000
1,52,0079-01-2007,39.58450000000,-79.09180000000,14363936,NHDFlowline,0.82080000000
1,53,0080-01-2007,39.60700000000,-79.10080000000,14363920,NHDFlowline,6.59250000000
1,54,0080-02-2007,39.58580000000,-79.09170000000,14363934,NHDFlowline,3.66120000000
1,55,0080-03-2007,39.60610000000,-79.08000000000,14363914,NHDFlowline,1.59660000000
1,56,0081-01-2007,39.61500000000,-79.02560000000,14363926,NHDFlowline,5.24430000000
1,57,0081-02-2007,39.64140000000,-79.02200000000,14364078,NHDFlowline,5.85810000000
1,58,0081-03-2007,39.60110000000,-79.07140000000,14363922,NHDFlowline,2.09790000000
1,59,0082-01-2007,39.64760000000,-79.06650000000,14363882,NHDFlowline,5.98950000000
1,60,0082-02-2007,39.64330000000,-79.09220000000,14363890,NHDFlowline,4.34700000000
1,61,0083-01-2007,39.64360000000,-79.02330000000,14363878,NHDFlowline,1.38780000000
1,62,0083-02-2007,39.65720000000,-79.02890000000,14363874,NHDFlowline,7.30620000000
1,63,0083-03-2007,39.65830000000,-79.03700000000,14363876,NHDFlowline,5.92020000000
1,64,0084-01-2007,39.67000000000,-78.99120000000,14362958,NHDFlowline,12.13380000000
1,65,0084-02-2007,39.67030000000,-78.99070000000,14362958,NHDFlowline,12.13380000000
1,66,0084-03-2007,39.67380000000,-78.97080000000,14362958,NHDFlowline,12.13380000000
1,67,0087-01-2008,39.48790000000,-79.04440000000,14364970,NHDFlowline,5.50080000000
1,68,0087-02-2006,39.50640000000,-79.04250000000,14364028,NHDFlowline,4.03290000000
1,69,0087-02-2008,39.56720000000,-79.05890000000,14363974,NHDFlowline,7.31430000000
1,70,0087-03-2006,39.52390000000,-79.05310000000,14364000,NHDFlowline,2.62890000000
1,71,0087-03-2008,39.52550000000,-79.04440000000,14364018,NHDFlowline,2.65860000000
1,72,0087-05-2006,39.54570000000,-79.07580000000,14363974,NHDFlowline,7.31430000000
1,73,0089-01-2006,39.56210000000,-78.99350000000,14363214,NHDFlowline,2.83860000000
1,74,0089-02-2006,39.53760000000,-79.02190000000,14363978,NHDFlowline,5.86350000000
1,75,0089-03-2006,39.54690000000,-79.01000000000,14363966,NHDFlowline,4.49370000000
1,76,0089-04-2006,39.54210000000,-79.00560000000,14363976,NHDFlowline,2.55960000000
1,77,0089-05-2006,39.55170000000,-78.99140000000,14363240,NHDFlowline,3.55230000000
1,78,0090-01-2006,39.59500000000,-78.95670000000,14363122,NHDFlowline,2.28510000000
1,79,0090-01-2008,39.56370000000,-78.95820000000,14363478,NHDFlowline,5.38560000000
1,80,0090-02-2006,39.57720000000,-78.93860000000,14363172,NHDFlowline,2.17350000000
