pct_ephemeroptera,pct_diptera,pct_plecoptera,pct_trichoptera,pct_isopoda,pct_decapoda,pct_amphipoda,pct_megaloptera,pct_coleoptera,pct_trepaxonemata,pct_odonata,pct_gastropoda,pct_oligochaeta,pct_bivalvia,pct_hirudinea,pct_lepidoptera,pct_arhynchobdellida,pct_hemiptera,pct_collembola,pct_rhynchobdellida,pct_platyhelminthes,pct_mollusca,unique_id,category,icprb_bioregion_id
23.1481481481482,7.40740740740741,25.9259259259259,43.5185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10020_1,deg,ca
25.3658536585366,21.4634146341463,35.609756097561,10.7317073170732,4.39024390243902,0.487804878048781,0.487804878048781,0.975609756097561,0.487804878048781,0,0,0,0,0,0,0,0,0,0,0,0,0,10021_1,ref,ca
49.5652173913044,6.52173913043478,4.78260869565217,35.6521739130435,0,0.434782608695652,3.04347826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10024_1,deg,ca
63.7305699481865,5.18134715025907,7.25388601036269,22.7979274611399,0,0,1.03626943005181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10036_1,deg,ca
4.19847328244275,8.3969465648855,0.763358778625954,1.52671755725191,0,0,84.7328244274809,0,0.381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,10082_1,deg,ca
3.6697247706422,5.5045871559633,0.91743119266055,53.2110091743119,4.58715596330275,0,31.1926605504587,0.91743119266055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10093_1,deg,ca
0,40.4494382022472,4.49438202247191,14.6067415730337,0,0,34.8314606741573,2.24719101123596,2.24719101123596,1.12359550561798,0,0,0,0,0,0,0,0,0,0,0,0,10094_1,deg,ca
0,19.5876288659794,7.21649484536082,72.1649484536083,0,0,0,0,1.03092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,10105_1,deg,ca
28.9617486338798,42.6229508196721,1.63934426229508,9.2896174863388,0.546448087431694,0,5.46448087431694,0,10.3825136612022,0,0.546448087431694,0.546448087431694,0,0,0,0,0,0,0,0,0,0,1012_1,deg,nrv
52.9411764705882,23.0769230769231,0,1.80995475113122,0,0,3.16742081447964,0,19.0045248868778,0,0,0,0,0,0,0,0,0,0,0,0,0,1013_1,deg,nrv
4.29447852760736,18.4049079754601,0,42.3312883435583,0,0,4.9079754601227,0,18.4049079754601,3.68098159509202,0,0,7.97546012269939,0,0,0,0,0,0,0,0,0,1014_1,deg,unp
1.06382978723404,56.3829787234043,0,31.9148936170213,0,4.25531914893617,0,2.12765957446809,2.12765957446809,0,0,0,2.12765957446809,0,0,0,0,0,0,0,0,0,10145_1,deg,ca
